category,answer
Способы оплаты,"Оплатить можно на почте при получении (почта берет 5% от суммы за перевод денег). Либо на карту нам перед отправкой, тогда на почте оплачивать ничего не нужно будет. Как вам удобнее?"
Статус оплаты,"Сейчас проверю, в каком статусе оплата"
Реквизиты,"Карта сбербанк: *номер карты*
Карта другого банка: *номер карты*
Имя получателя
Телефон получателя:"
Акции / Скидки,"На данный момент действуют следующие акции:

1) Акция 1 - условия акции
2) Акция 2 - условия акции
3) Акция 1 - условия акции"
Инцидент,"Не переживайте, сейчас во всём разберёмся"
Сумма,"Сумма заказа составляет: *сумма* р.
Чтобы заказать напишите:

1) адрес и индекс
2) фио получателя
3) телефон"
